school_year,dbn,school_name,report_type,avg_metric_score,n_metric_rows
2018,02M533,Union Square Academy for Health Sciences,HS,3.025,30
2016,75K140,P.S. K140,D75,3.0300000000000002,3
2018,02M534,Harvest Collegiate High School,HS,3.2795833333333335,24
2018,02M542,Manhattan Bridges High School,HS,4.347666666666667,30
2018,02M543,New Design High School,HS,3.106,30
2018,02M544,Independence High School,HST,2.8485185185185187,27
2018,02M545,High School for Dual Language and Asian Studies,HS,4.5764000000000005,25
2018,02M550,Liberty High School Academy for Newcomers,HST,3.926,25
2018,02M551,Urban Assembly New York Harbor School,HS,2.7363333333333335,30
2018,02M560,High School M560 - City As School,HST,2.684,20
2018,02M565,Urban Academy Laboratory High School,HST,3.1141666666666667,12
2018,02M570,Satellite Academy High School,HST,3.392857142857143,21
2018,02M575,Manhattan Comprehensive Night and Day High School,HST,3.2292592592592593,27
2018,02M580,Richard R. Green High School of Teaching,HS,2.7266666666666666,30
2018,02M586,Harvey Milk High School,HST,2.6622222222222223,18
2018,02M600,The High School of Fashion Industries,HS,3.739642857142857,28
2018,02M605,Humanities Preparatory Academy,HS,4.249583333333334,24
2018,02M615,Chelsea Career and Technical Education High School,HS,3.2683333333333335,30
2018,03M009,P.S. 009 Sarah Anderson,EMS,3.6,11
2018,02M630,Art and Design High School,HS,3.4732,25
2018,02M655,Life Sciences Secondary School,HS,2.3732258064516127,31
2016,75K141,P.S. K141,D75,2.9433333333333334,3
2018,02M896,Lower Manhattan Community Middle School,EMS,4.4825,20
2018,02M933,City Knoll Middle School,EMS,3.4244444444444446,27
2018,03M054,J.H.S. 054 Booker T. Washington,EMS,3.993125,16
2018,03M075,P.S. 075 Emily Dickinson,EMS,3.578,20
2018,03M076,P.S. 076 A. Philip Randolph,EMS,2.5611111111111113,27
2018,03M084,P.S. 084 Lillian Weber,EMS,3.1475,20
2018,03M087,P.S. 087 William Sherman,EMS,4.090909090909091,11
2018,03M145,"P.S. 145, The Bloomingdale School",EMS,2.2295454545454545,22
2018,03M149,P.S. 149 Sojourner Truth,EMS,2.6933333333333334,27
2018,03M163,P.S. 163 Alfred E. Smith,EMS,3.316923076923077,13
2018,03M165,P.S. 165 Robert E. Simon,EMS,3.425263157894737,19
2018,03M166,P.S. 166 The Richard Rodgers School of The Arts an,EMS,3.957272727272727,11
