dbn,school_name,borough,report_type,avg_metric_score,n_metric_rows
10X237,"The Marie Curie High School for Medicine, Nursing, and Health Professions",Bronx,HS,2.5164583333333335,192
10X243,West Bronx Academy for the Future,Bronx,EMS,2.5798907103825135,183
10X243,West Bronx Academy for the Future,Bronx,HS,3.2245641025641025,195
10X244,The New School for Leadership and Journalism,Bronx,EMS,3.8526519337016576,181
10X246,P.S. 246 Poe Center,Bronx,EMS,2.380571428571429,140
10X254,I.S. 254,Bronx,EMS,3.1488524590163935,183
10X264,Bronx Academy for Software Engineering (BASE),Bronx,HS,2.9946987951807227,166
10X268,Kingsbridge International High School,Bronx,HS,2.27752688172043,186
10X279,"P.S. 279 Captain Manuel Rivera, Jr.",Bronx,EMS,3.452914285714286,175
10X280,P.S./M.S. 280 Mosholu Parkway,Bronx,EMS,3.3560893854748604,179
10X284,Bronx School of Law and Finance,Bronx,HS,2.899597989949749,199
10X291,P.S. 291,Bronx,EMS,3.156044776119403,134
10X306,P.S. 306,Bronx,EMS,2.643712121212121,132
10X307,Luisa Pineiro Fuentes School of Science and Discovery,Bronx,EMS,2.6350980392156864,102
10X308,Bronx Dance Academy School,Bronx,EMS,3.8544444444444443,171
10X310,P.S. 310 Marble Hill,Bronx,EMS,2.868235294117647,136
10X315,P.S. 315 Lab School,Bronx,EMS,2.9594545454545456,165
10X319,Providing Urban Learners Success In Education High School,Bronx,HST,2.636949152542373,177
10X331,The Bronx School of Young Leaders,Bronx,EMS,3.0053757225433526,173
10X340,P.S. 340,Bronx,EMS,3.021897810218978,137
10X342,International School for Liberal Arts,Bronx,EMS,3.69317880794702,151
10X342,International School for Liberal Arts,Bronx,HS,2.682319587628866,194
10X344,Ampark Neighborhood,Bronx,EMS,2.8945833333333333,96
10X351,Bronx Collaborative High School,Bronx,HS,2.7960992907801416,141
10X353,World View High School,Bronx,HS,4.11906432748538,171
10X360,P.S. 360,Bronx,EMS,2.621328125,128
10X363,Academy For Personal Leadership And Excellence,Bronx,EMS,3.1772677595628416,183
10X368,In-Tech Academy (M.S. / High School 368),Bronx,EMS,2.8796045197740114,177
10X368,In-Tech Academy (M.S. / High School 368),Bronx,HS,3.217857142857143,196
10X374,Knowledge and Power Preparatory Academy International High School (Kappa),Bronx,HS,3.9226903553299493,197
10X382,"Elementary School for Math, Science, and Technology",Bronx,EMS,2.3496296296296295,108
10X386,School for Environmental Citizenship,Bronx,EMS,2.6253076923076923,130
10X390,M.S. 390,Bronx,EMS,3.0833333333333335,177
10X391,The Angelo Patri Middle School,Bronx,EMS,2.6923497267759564,183
10X396,P.S. 396,Bronx,EMS,3.1168992248062017,129
10X397,English Language Learners and International Support Preparatory Academy (ELLIS),Bronx,HST,3.6401785714285713,112
10X433,High School for Teaching and the Professions,Bronx,HS,3.155707070707071,198
10X434,Belmont Preparatory High School,Bronx,HS,3.578941798941799,189
10X437,Fordham High School for the Arts,Bronx,HS,4.211720430107527,186
10X438,Fordham Leadership Academy,Bronx,HS,3.440502512562814,199
10X439,Bronx High School for Law and Community Service,Bronx,HS,3.860964467005076,197
10X440,DeWitt Clinton High School,Bronx,HS,2.835323383084577,201
10X442,"Celia Cruz Bronx High School of Music, The",Bronx,HS,3.9388172043010754,186
10X445,The Bronx High School of Science,Bronx,HS,4.789,160
10X447,Creston Academy,Bronx,EMS,3.705142857142857,175
10X459,East Fordham Academy for the Arts,Bronx,EMS,2.5387962962962964,108
10X477,Marble Hill High School for International Studies,Bronx,HS,4.452886597938145,194
27Q487,John Adams Yabc,Queens,YABC,3.1030434782608696,92
10X503,Walton Yabc,Bronx,YABC,3.120430107526882,93
10X504,Kennedy Yabc,Bronx,YABC,2.2716129032258063,93
10X524,Crotona International High School,Bronx,HS,3.111948051948052,154
10X546,Bronx Theatre High School,Bronx,HS,2.883937823834197,193
10X549,Discovery High School,Bronx,HS,4.031557788944724,199
10X565,High School for Energy and Technology,Bronx,HS,3.2804918032786885,183
10X668,Dewitt Clinton Campus YABC,Bronx,YABC,3.08955223880597,67
10X696,High School of American Studies at Lehman College,Bronx,HS,4.80171974522293,157
11X083,P.S. 083 Donald Hertz,Bronx,EMS,2.919125683060109,183
11X016,P.S. 016 Wakefield,Bronx,EMS,2.9701785714285713,112
11X019,P.S. 019 Judith K. Weiss,Bronx,EMS,3.292091503267974,153
11X021,P.S. 021 Philip H. Sheridan,Bronx,EMS,2.6663247863247865,117
11X041,P.S. 041 Gun Hill Road,Bronx,EMS,2.581374045801527,131
11X068,P.S. 068 Bronx,Bronx,EMS,3.480683760683761,117
