dbn,school_name,school_type,avg_metric_score,n_metric_rows
08X101,M.S. X101 Edward R. Byrne,Middle,3.552,155
08X131,J.H.S. 131 Albert Einstein,Middle,2.771129943502825,177
08X269,Bronx Studio School for Writers and Artists,Middle,2.6492349726775957,183
08X269,Bronx Studio School for Writers and Artists,High School,2.8113917525773195,194
08X282,Women's Academy of Excellence,High School,2.6251612903225805,186
08X293,Renaissance High School for Musical Theater and the Arts,High School,3.17078125,192
08X301,M.S. 301 Paul L. Dunbar,Middle,2.2779234972677593,183
08X302,M.S. 302 Luisa Dessus Cruz,Middle,3.381803278688525,183
08X312,Millennium Art Academy,High School,3.0728717948717947,195
08X320,Pelham Lab High School,High School,2.436923076923077,169
08X337,The School for Inquiry and Social Justice,Middle,3.6133522727272727,176
08X348,Schuylerville Preparatory High School,High School,2.42207100591716,169
08X349,Bronx River High School,High School,3.4856140350877194,171
08X367,"Archimedes Academy for Math, Science and Technology Applications",Middle,2.711791907514451,173
08X367,"Archimedes Academy for Math, Science and Technology Applications",High School,2.460777202072539,193
08X371,Urban Institute of Mathematics,Middle,3.4020118343195267,169
08X375,The Bronx Mathematics Preparatory School,Middle,2.6905494505494505,182
08X376,Antonia Pantoja Preparatory Academy: A College Board School,Middle,3.065058823529412,170
08X376,Antonia Pantoja Preparatory Academy: A College Board School,High School,2.8029591836734693,196
08X405,Herbert H. Lehman High School,High School,2.2125125628140703,199
08X424,Bronx Academy for Multi-Media,Middle,3.131584699453552,183
08X432,Bronx Bridges High School,High School,3.0461421319796953,197
08X448,Soundview Academy for Culture and Scholarship,Middle,2.995367231638418,177
08X452,Gotham Collaborative High School,High School,2.7806632653061225,196
08X467,Mott Hall Community School,Middle,2.6387222222222224,180
08X530,Longwood Preparatory Academy,High School,3.032020202020202,198
08X558,Westchester Square Academy,High School,2.992771739130435,184
08X559,School for Tourism and Hospitality,High School,2.1963392857142856,112
08X561,Bronx Compass High School,High School,2.4584239130434784,184
08X562,Pugsley Preparatory Academy,Middle,2.961878453038674,181
09X022,J.H.S. 022 Jordan L. Mott,Middle,2.840457142857143,175
09X117,I.S. 117 Joseph H. Wade,Middle,2.8652747252747255,182
09X128,Mott Hall III,Middle,3.5255151515151515,165
09X215,Kappa,Middle,3.2697752808988763,178
09X219,I.S. 219 New Venture School,Middle,2.9153107344632767,177
09X227,Bronx Collegiate Academy,High School,3.0755837563451776,197
09X229,I.S. 229 Roland Patterson,Middle,2.880965909090909,176
09X231,Eagle Academy for Young Men,Middle,3.150709677419355,155
09X231,Eagle Academy for Young Men,High School,3.18140625,192
09X232,I.S. 232,Middle,3.2037158469945357,183
09X241,"Urban Assembly School for Applied Math and Science, The",Middle,2.9065384615384615,182
09X241,"Urban Assembly School for Applied Math and Science, The",High School,3.201904761904762,189
09X250,Eximius College Preparatory Academy: A College Board School,High School,3.6384895833333335,192
09X252,Mott Hall Bronx High School,High School,3.2885786802030457,197
09X260,Bronx Center for Science and Mathematics,High School,3.9360655737704917,183
09X263,Validus Preparatory Academy,High School,2.461269035532995,197
09X297,Morris Academy for Collaborative Studies,High School,3.350251256281407,199
09X303,I.S. X303 Leadership & Community Service,Middle,3.66448275862069,174
09X313,I.S. 313 School of Leadership Development,Middle,2.63698224852071,169
