dbn,school_name,borough,avg_metric_score,n_metric_rows
02M519,Talent Unlimited High School,Manhattan,3.8710119047619047,168
02M655,The High School for Climate Justice,Manhattan,2.3949808429118775,261
02M520,Murry Bergtraum High School for Business Careers,Manhattan,2.276300578034682,173
02M527,P.S. 527 - East Side School for Social Action,Manhattan,3.942075471698113,53
02M531,Repertory Company High School for Theatre Arts,Manhattan,4.1059171597633135,169
02M533,Union Square Academy for Health Sciences,Manhattan,3.1980898876404495,178
02M534,Harvest Collegiate High School,Manhattan,3.168768115942029,138
02M543,New Design High School,Manhattan,3.1840314136125656,191
02M545,High School for Dual Language and Asian Studies,Manhattan,4.510969696969697,165
02M550,Liberty High School Academy for Newcomers,Manhattan,3.475614035087719,171
02M551,Urban Assembly New York Harbor School,Manhattan,2.857760416666667,192
02M560,High School M560 - City As School,Manhattan,2.7969503546099292,141
02M565,Urban Academy Laboratory High School,Manhattan,3.356235294117647,85
02M570,Satellite Academy High School,Manhattan,3.2295714285714285,140
02M575,Manhattan Comprehensive Night and Day High School,Manhattan,3.136290322580645,186
02M580,Richard R. Green High School of Teaching,Manhattan,2.650159574468085,188
02M600,The High School of Fashion Industries,Manhattan,3.64232044198895,181
02M605,Humanities Preparatory Academy,Manhattan,3.7824271844660196,103
02M615,Chelsea Career and Technical Education High School,Manhattan,3.2406217616580313,193
03M009,P.S. 009 Sarah Anderson,Manhattan,4.066867469879518,83
02M630,Art and Design High School,Manhattan,3.5642528735632184,174
02M896,Lower Manhattan Community Middle School,Manhattan,4.186950354609929,141
02M933,City Knoll Middle School,Manhattan,3.1732142857142858,140
03M054,J.H.S. 054 Booker T. Washington,Manhattan,3.9608461538461537,130
03M075,P.S. 075 Emily Dickinson,Manhattan,3.4139097744360902,133
03M076,P.S. 076 A. Philip Randolph,Manhattan,2.482222222222222,171
03M084,P.S. 084 Lillian Weber,Manhattan,3.1466129032258063,124
03M087,P.S. 087 William Sherman,Manhattan,3.993855421686747,83
03M145,"P.S. 145, The Bloomingdale School",Manhattan,2.202027972027972,143
03M149,P.S. 149 Sojourner Truth,Manhattan,2.5933529411764704,170
