dbn,school_name,report_type,n_metrics_compared,n_metrics_below_avg,pct_metrics_below_avg,any_below_avg
21K216,P.S. 216 Arturo Toscanini,EMS,188,79,42.0,True
21K225,P.S. K225 - The Eileen E. Zaglin,EMS,221,123,55.7,True
21K226,P.S. 226 Alfred De B. Mason,EMS,215,120,55.8,True
21K228,I.S. 228 David A. Boody,EMS,235,130,55.3,True
21K239,Mark Twain I.S. 239 for the Gifted & Talented,EMS,229,85,37.1,True
21K253,P.S. 253,EMS,178,14,7.9,True
21K281,I.S. 281 Joseph B Cavallaro,EMS,229,100,43.7,True
24Q455,Newtown High School,HS,354,173,48.9,True
21K288,P.S. 288 The Shirley Tanyhill,EMS,216,151,69.9,True
21K303,I.S. 303 Herbert S. Eisenberg,EMS,227,115,50.7,True
21K329,P.S. 329 Surfside,EMS,166,130,78.3,True
21K337,International High School at Lafayette,HS,247,92,37.2,True
21K344,Rachel Carson High School for Coastal Studies,HS,342,145,42.4,True
21K348,High School of Sports Management,HS,289,165,57.1,True
21K410,Abraham Lincoln High School,HS,361,198,54.8,True
21K411,Abraham Lincoln Yabc,YABC,100,47,47.0,True
21K468,Kingsborough Early College School,EMS,223,129,57.8,True
21K468,Kingsborough Early College School,HS,308,63,20.5,True
21K525,Edward R. Murrow High School,HS,378,291,77.0,True
21K559,Life Academy High School for Film and Music,HS,272,103,37.9,True
21K572,Leaders High School,HS,264,56,21.2,True
21K620,William E. Grady Career and Technical Education High School,HS,323,228,70.6,True
25Q029,P.S. 029 Queens,EMS,192,109,56.8,True
21K690,Brooklyn Studio Secondary School,EMS,215,107,49.8,True
21K690,Brooklyn Studio Secondary School,HS,324,188,58.0,True
21K728,Liberation Diploma Plus,HST,196,103,52.6,True
22K014,J.H.S. 014 Shell Bank,EMS,226,121,53.5,True
22K052,P.S. 052 Sheepshead Bay,EMS,195,169,86.7,True
22K078,J.H.S. 078 Roy H. Mann,EMS,229,146,63.8,True
22K119,P.S. 119 Amersfort,EMS,193,152,78.8,True
22K134,P.S. K134,EMS,161,8,5.0,True
22K139,P.S. 139 Alexine A. Fenty,EMS,216,146,67.6,True
22K152,School of Science & Technology,EMS,201,134,66.7,True
22K193,P.S. 193 Gil Hodges,EMS,202,108,53.5,True
22K194,P.S. 194 Raoul Wallenberg,EMS,194,138,71.1,True
22K195,P.S. 195 Manhattan Beach,EMS,129,35,27.1,True
22K197,P.S. 197 - The Kings Highway Academy,EMS,197,98,49.7,True
22K198,P.S. 198 Brooklyn,EMS,148,75,50.7,True
